Code,Label,Description,Weeks
KHAE-ELA-7,Grade 7 English Language Arts and Literacy,"Cite multiple pieces of textual evidence, analyze theme/central idea, point of view, text structure, arguments/claims, vocabulary/morphology, grammar, speaking/listening, research, writing, revision, media, and disciplinary literacy.",1-36
KHAE-MATH-7,Grade 7 Mathematics,"Proportional relationships, unit rates, percent change, rational-number operations, expressions, equations, inequalities, scale drawings, circles, area, surface area, volume, probability, statistics, and mathematical modeling.",1-36
KHAE-SCI-MS7,Middle School Science and Engineering,"Cells, body systems, genetics foundations, ecosystems, matter, energy, forces, Earth systems, plate tectonics, weather/climate, engineering design, modeling, data analysis, and claim-evidence-reasoning.",1-36
KHAE-SS-7,Grade 7 Social Studies and Civics,"World geography, medieval and early modern civilizations, knowledge networks, trade, religion, Renaissance, Reformation, scientific revolution, economics, civic ideas, historical sources, perspective, and informed action.",1-36
KHAE-WL-7,World Languages and Global Culture,"Language learning foundations, greetings, cognates, scripts, sentence patterns, cultural comparison, translation awareness, geography of languages, diplomacy, respect, and global communication.",1-36
KHAE-ART-7,"Arts, Music, and Media","Creative process, visual design, media arts, music literacy, rhythm, melody, drama, performance, critique, cultural arts, artist statements, and portfolio curation.",1-36
KHAE-PEH-7,"Health, PE, and SEL","Physical literacy, fitness planning, nutrition, safety, adolescent wellness, emotional regulation, executive function, collaboration, leadership, resilience, digital wellness, and self-advocacy.",1-36
KHAE-TECH-7,"Technology, Design, and Tools","Digital citizenship, file systems, spreadsheets, charts, source notes, ethical media, algorithms, debugging, accessibility, human-centered design, and presentation systems.",1-36
KHAE-IP-7,Integrated A++ Projects,"Cross-disciplinary inquiry, evidence gathering, data analysis, quantitative reasoning, research writing, modeling, design, revision, oral defense, portfolio, and reflection.",1-36
KHAE-PORT-7,Portfolio and Assessment,"Weekly mastery, performance tasks, midterm, final, capstone checkpoints, student reflection, teacher evidence, family reports, Grade 8 readiness, and 80% certification.",1-36
