Week,Title,Lens,Essential Question,Theme,Standards
1,Seventh Grade Scholar Launch,Launch,"How do seventh-grade scholars prove independence through evidence, revision, and responsibility?","Middle school systems, diagnostic reading/math/science writing, executive function, research notebooks, digital files, portfolio setup, and A++ expectations",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
2,Cited Evidence and Proportional Thinking,Proportional Evidence,How do evidence and proportional thinking help us compare complex situations?,"Citing multiple pieces of evidence, proportional relationships, ratios, tables, graphs, and academic discussion",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
3,"Unit Rates, Slope Foundations, and Informational Text",Unit Rates,"How can rates reveal relationships in texts, data, and the world?","Unit rates, proportional graphs, slope intuition, text structure, technical vocabulary, and source notes",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
4,Percent Change and Civic Data,Percent Change,How can percent reasoning support informed civic decisions?,"Percent increase/decrease, discounts/tax/tip, survey data, civic claims, and data ethics",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
5,Operations with Rational Numbers,Rational Numbers,How do rational numbers extend what we can model and explain?,"Integers, rational numbers, number lines, absolute value, addition/subtraction/multiplication/division, and error analysis",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
6,"Expressions, Properties, and Academic Precision",Expressions,How can structure make complicated ideas simpler?,"Expressions, combining like terms, distributive property, symbolism in literature, and precise vocabulary",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
7,Equations and Inequalities,Equations,How does solving an equation or inequality reveal hidden information?,"Multi-step equations, inequalities, solution sets, word problems, constraints, and argument writing",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
8,Scale Drawings and Geometry Design,Scale,How can scale help us represent something larger or smaller accurately?,"Scale drawings, proportional dimensions, maps, architectural plans, art composition, and precision tools",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
9,"Circles, Area, and Design",Circles,How do formulas help us describe curved and complex spaces?,"Circle vocabulary, circumference, area, composite figures, formulas, proof language, and visual design",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
10,"Surface Area, Volume, and Modeling",3D Modeling,How can three-dimensional models help solve real-world problems?,"Surface area, volume, nets, prisms, pyramids foundations, design constraints, and mathematical modeling",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
11,Probability and Fair Games,Probability,"How can probability help us judge risk, fairness, and prediction?","Chance processes, experimental/theoretical probability, sample spaces, simulations, fair games, and ethical data",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
12,Statistics and Inference,Statistics,How can samples help us make claims about populations?,"Random sampling, populations, measures of center/variability, comparing groups, claims, and data arguments",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
