Code,Label,Description,Weeks
KHAE-ELA-8,Grade 8 English Language Arts and Literacy,"Strongest textual evidence, theme/central idea, point of view, text structure, argument evaluation, claims/reasons/evidence, vocabulary/morphology, grammar, speaking/listening, research, writing, revision, media, and disciplinary literacy.",1-36
KHAE-MATH-8,Grade 8 Mathematics and Algebra I Readiness,"Expressions/equations, systems, functions, linear relationships, slope/intercept, exponents, scientific notation, transformations, congruence, similarity, Pythagorean theorem, volume, bivariate data, statistics, and modeling.",1-36
KHAE-SCI-MS8,Middle School Culminating Science and Engineering,"Matter, chemical reactions, forces, energy, waves, Earth/space systems, geologic time, fossils, evolution evidence, genetics, ecosystems, sustainability, engineering design, models, data analysis, and CER reasoning.",1-36
KHAE-SS-8,"Grade 8 Social Studies, Civics, and History","Geography, founding ideas, constitutional principles, rights/responsibilities, revolution, civic design, expansion, reform, Civil War/Reconstruction foundations, economics, source analysis, perspective, and informed action.",1-36
KHAE-WL-8,World Languages and Global Culture,"Language learning foundations, scripts, grammar patterns, cognates, cultural protocol, translation awareness, geography of languages, diplomacy, respect, and global communication.",1-36
KHAE-ART-8,"Arts, Music, and Media","Creative process, visual design, media arts, music literacy, rhythm, melody, drama, performance, critique, cultural arts, artist statements, and high-school portfolio curation.",1-36
KHAE-PEH-8,"Health, PE, and SEL","Physical literacy, fitness planning, nutrition, safety, adolescent wellness, stress management, executive function, conflict resolution, leadership, resilience, digital wellness, and self-advocacy.",1-36
KHAE-TECH-8,"Technology, Design, and AI-Readiness Tools","Digital citizenship, file systems, spreadsheets, charts, source notes, ethical media, algorithms, debugging, accessibility, data ethics, AI-readiness habits, and presentation systems.",1-36
KHAE-IP-8,Integrated A++ High School Readiness Projects,"Cross-disciplinary inquiry, evidence gathering, data analysis, algebraic modeling, research writing, scientific/civic modeling, design, revision, oral defense, portfolio, and reflection.",1-36
KHAE-PORT-8,"Portfolio, Assessment, and High School Readiness","Weekly mastery, performance tasks, midterm, final, capstone checkpoints, student reflection, teacher evidence, family reports, high school transition planning, and 80% certification.",1-36
