Week,Title,Lens,Essential Question,Theme,Standards
1,Middle School Scholar Launch,Launch,"How do middle school scholars organize independence, evidence, and responsibility?","Transition systems, binders/files, advisory routines, diagnostic reading/math/science writing, research notebooks, executive function, and portfolio setup",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
2,"Evidence, Annotation, and Ratios",Evidence,How do evidence and comparison help us understand complex ideas?,"Text annotation, quoting/citing evidence, ratios as comparisons, unit language, learning contracts, and notebook systems",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
3,"Rates, Unit Rates, and Informational Text",Rates,How can rates and text structures explain change?,"Unit rates, tables, graphs, informational text structure, technical vocabulary, and source notes",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
4,"Percent, Proportion, and Civic Decisions",Percent,How can percentages help a community make informed decisions?,"Percent, benchmark fractions/decimals, claims and evidence, surveys, civic choices, and data displays",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
5,Fraction Division and Procedural Writing,Fraction Division,How can models explain division when the numbers are fractions?,"Fraction division, visual models, reciprocal reasoning foundations, procedural writing, critique, and clarity",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
6,Rational Numbers and Ancient Number Systems,Rational Numbers,How have cultures represented numbers and meaning across time?,"Integers, rational numbers, number lines, absolute value foundations, ancient number systems, and mathematical history",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
7,Coordinate Planes and Geography,Coordinates,"How can coordinates help us describe place, movement, and patterns?","Four-quadrant coordinate planes, maps, scale, geography, ordered pairs, and spatial reasoning",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
8,Expressions and Algebraic Thinking,Expressions,"How can symbols represent ideas in math, language, and culture?","Variables, expressions, substitution, order of operations, literary symbolism, and precise academic language",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
9,Equations and Balanced Arguments,Equations,How do balance and evidence make arguments stronger?,"One-step equations, balance models, argument writing, claim/reason/evidence, and academic discussion",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
10,Inequalities and Decision Rules,Inequalities,How do constraints shape solutions and decisions?,"Inequalities, constraints, solution sets, policy rules, design limits, and responsible choices",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
11,"Statistics: Questions, Data, and Distribution",Statistics,How can data answer questions while still requiring judgment?,"Statistical questions, data collection, dot plots, histograms foundations, center/spread, and data ethics",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
12,"Geometry: Area, Surface Area, and Design",Geometry Design,How do measurements help designers plan efficient spaces?,"Area formulas, polygons, nets, surface area, design constraints, and visual communication",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
13,Volume and Three-Dimensional Modeling,Volume,How can 3D models solve real problems?,"Volume of rectangular prisms, fractional edge lengths, models, engineering notebooks, and spatial reasoning",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
14,"Matter: Particles, Properties, and Models",Matter,How can invisible particle models explain visible properties?,"Properties of matter, particle models, density foundations, evidence tables, and scientific explanation",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
